breed,color,sex,size,date_of_birth,animal_id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,dob_season,intake_season,outcome_season,outcome_adopt,outcome_adopt_subtype,intake_age,outcome_age,pop_control,sex_bin,size_bin,breed_pit,color_mix,intake_bin
PIT BULL,GRAY/WHITE,Female,MED,2012-09-03,A296009,2013-08-22,2014-04-14,235,TRANSFER,VET_HOSP,EUTHANIZE,BEH SEVERE,HEALTHY,UNTREATABLE,3,2,1,False,none,0.9700000000000272,1.6099999999999,1,1,3,1,1,4
PIT BULL,BLUE/WHITE,Female,MED,2012-10-09,A294143,2013-08-31,2014-04-14,226,STRAY,FIELD,EUTHANIZE,BEH SEVERE,HEALTHY,UNTREATABLE,3,2,1,False,none,0.8900000000001,1.509999999999991,1,1,3,1,1,0
CAROLINA DOG/MIX,GOLD/WHITE,Male,MED,2007-09-07,A281788,2013-09-19,2014-07-30,314,STRAY,FIELD,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,3,3,2,False,none,6.029999999999973,6.900000000000091,0,0,3,0,1,0
CHIHUAHUA SH,TAN,Male,TOY,2007-10-01,A297574,2013-10-01,2014-01-01,92,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,3,3,0,False,none,6.0,6.25,1,0,1,0,0,1
PIT BULL,TAN/WHITE,Male,MED,2012-10-29,A298002,2013-10-08,2014-05-22,226,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,3,3,1,True,realtime,0.949999999999818,1.5699999999999363,1,0,3,1,1,0
PIT BULL/MIX,TAN/WHITE,Female,MED,2011-10-12,A298061,2013-10-09,2014-02-15,129,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,3,3,0,True,realtime,1.990000000000009,2.340000000000145,1,1,3,1,1,0
PIT BULL,BLACK,Female,LARGE,2010-11-22,A298914,2013-10-30,2014-03-29,150,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,3,3,0,True,realtime,2.9400000000000546,3.349999999999909,1,1,4,1,0,0
CHIHUAHUA SH,BLACK/TAN,Male,TOY,2002-12-04,A299080,2013-11-02,2014-01-04,63,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,3,3,0,True,realtime,10.910000000000082,11.079999999999927,1,0,1,0,1,0
CHIHUAHUA SH,BLUE/FAWN,Male,SMALL,2011-11-21,A299340,2013-11-12,2014-06-21,221,TRANSFER,PRIV_SHELT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,3,3,1,True,realtime,1.9800000000000184,2.589999999999918,1,0,2,0,1,4
TOY FOX TERRIER,WHITE/BLACK,Male,TOY,2005-04-01,A025040,2013-11-16,2014-01-31,76,OWNER SURRENDER,OVER THE COUNTER,TRANSFER,MUTTVILLE,HEALTHY,HEALTHY,1,3,0,False,none,8.620000000000118,8.830000000000155,1,0,1,0,1,1
PARSON RUSS TER,TRICOLOR,Female,SMALL,2001-05-13,A299783,2013-11-21,2014-01-29,69,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,1,3,0,True,realtime,12.519999999999982,12.710000000000036,1,1,2,0,1,1
